id_producto,nombre,marca,color,precio_actual,precio_anterior,moneda,en_descuento,es_nuevo,venta_rapida,promocion,url_producto,url_imagen
209792242,Walk London Ezra Cross Strap Sandals in black leather,WALK LONDON,Black,101.0,,USD,False,False,False,False,walk-london/walk-london-ezra-cross-strap-sandals-in-black-leather/prd/209792242#colourWayId-209792253,images.asos-media.com/products/walk-london-ezra-cross-strap-sandals-in-black-leather/209792242-1-black
209792301,Walk London Ezra Backstrap sandals in brown leather,WALK LONDON,Brown,101.0,,USD,False,False,False,False,walk-london/walk-london-ezra-backstrap-sandals-in-brown-leather/prd/209792301#colourWayId-209792306,images.asos-media.com/products/walk-london-ezra-backstrap-sandals-in-brown-leather/209792301-1-brown
210389958,ASOS DESIGN penny loafers in tan leather,ASOS DESIGN,TAN,84.99,,USD,False,False,False,False,asos-design/asos-design-penny-loafers-in-tan-leather/prd/210389958#colourWayId-210389964,images.asos-media.com/products/asos-design-penny-loafers-in-tan-leather/210389958-1-tan
210847830,ASOS DESIGN lace up sneakers in white with taupe heel notch,ASOS DESIGN,WHITE & TAUPE,59.99,,USD,False,False,False,False,asos-design/asos-design-lace-up-sneakers-in-white-with-taupe-heel-notch/prd/210847830#colourWayId-210847836,images.asos-media.com/products/asos-design-lace-up-sneakers-in-white-with-taupe-heel-notch/210847830-1-whitetaupe
211220651,Mango real leather espadrilles in stone,Mango,STONE,119.99,,USD,False,False,False,False,mango/mango-real-leather-espadrilles-in-stone/prd/211220651#colourWayId-211220653,images.asos-media.com/products/mango-real-leather-espadrilles-in-stone/211220651-1-stone
202494672,Nike Victori One slides in black,Nike,Black/white,27.75,35.0,USD,True,False,False,False,nike/nike-victori-one-slides-in-black/prd/202494672#colourWayId-202494689,images.asos-media.com/products/nike-victori-one-slides-in-black/202494672-1-blackwhite
207985354,New Balance 9060 sneakers in off-white and green,New Balance,WHITE,159.99,,USD,False,False,True,False,new-balance/new-balance-9060-sneakers-in-off-white-and-green/prd/207985354#colourWayId-207985355,images.asos-media.com/products/new-balance-9060-sneakers-in-off-white-and-green/207985354-1-white
208141178,New Balance 327 sneakers in beige and leopard print,New Balance,BEIGE,104.99,,USD,False,False,False,False,new-balance/new-balance-327-sneakers-in-beige-and-leopard-print/prd/208141178#colourWayId-208141179,images.asos-media.com/products/new-balance-327-sneakers-in-beige-and-leopard-print/208141178-1-beige
210213044,Umbro 5V5 leather sneakers in white,Umbro,WHITE,156.0,,USD,False,False,False,False,umbro/umbro-5v5-leather-sneakers-in-white/prd/210213044#colourWayId-210213047,images.asos-media.com/products/umbro-5v5-leather-sneakers-in-white/210213044-1-white
210555072,Calvin Klein leather loafers in burgundy,Calvin Klein,Bordeaux,177.0,,USD,False,False,False,False,calvin-klein/calvin-klein-leather-loafers-in-burgundy/prd/210555072#colourWayId-210555073,images.asos-media.com/products/calvin-klein-leather-loafers-in-burgundy/210555072-1-bordeaux
