date,playeras,camisetas,blusas,camisas,polos,sudaderas,hoodies,chamarras,abrigos,suéteres,jeans,pantalones,pantalones cargo,shorts,joggers,vestidos,faldas,leggins,tenis,botas,bolsas,gorras,streetwear,oversize,ropa vintage
2026-04-26,55,8,16,33,7,26,5,22,2,2,48,62,2,36,1,19,2,1,63,20,73,41,1,5,0
2026-05-03,47,7,18,31,7,21,7,18,2,2,50,59,2,36,1,19,2,1,63,18,83,35,1,5,1
2026-05-10,47,6,14,30,8,22,7,21,3,2,47,58,2,34,1,18,2,1,61,18,72,35,2,5,0
2026-05-17,55,7,15,32,8,20,4,21,3,2,47,58,2,35,1,19,2,1,59,18,72,34,2,5,0
2026-05-24,58,8,15,33,7,24,5,22,3,2,50,62,2,33,1,19,2,1,77,21,68,34,2,5,0
2026-05-31,67,10,16,35,8,24,4,24,2,2,48,61,2,34,1,20,2,1,72,20,71,35,2,5,0
2026-06-07,100,12,14,37,7,26,3,26,4,3,45,53,1,29,1,18,2,1,60,21,62,32,1,5,0
2026-06-14,85,11,13,38,7,23,3,23,3,2,44,54,2,31,1,16,2,1,57,18,58,32,1,5,0
2026-06-21,68,9,13,32,6,22,4,23,3,1,59,53,2,37,1,16,2,1,54,18,57,30,2,5,0
2026-06-28,73,10,14,32,6,23,4,24,3,2,44,56,2,33,1,15,2,1,52,18,59,27,1,5,0
2026-07-05,56,8,14,30,6,21,4,24,4,3,47,55,2,35,2,16,2,1,58,19,59,26,1,5,0
2026-07-12,54,8,14,32,7,26,4,26,4,2,49,64,2,30,1,16,2,1,62,21,73,30,1,5,0
2026-07-19,56,8,16,32,7,24,3,25,4,2,57,69,2,33,1,16,2,1,66,21,82,33,1,5,0
2026-07-26,48,7,13,32,5,25,2,22,6,2,47,65,2,29,1,16,2,1,66,21,69,31,1,5,0
