id_producto,nombre,marca,color,precio_actual,precio_minimo,precio_maximo,moneda,disponibilidad,proximamente,es_nuevo,en_linea,categoria,tallas_disponibles,cantidad_tallas,stock_total_api,url_producto,url_imagen,fuente
1045459087,Harper High Rise Wide Leg Jeans,H&M,Dark denim blue,34.99,34.99,34.99,USD,Available,False,True,True,ladies_jeans_wide,"12, 10, 8, 6, 16, 14, 18, 4, 2, 0, 22, 20",12,24,https://www2.hm.com/en_us/productpage.1045459087.html,https://image.hm.com/assets/hm/9d/6f/9d6fc224fbe2b875b972f44ee57ae1c92701da94.jpg,H&M
0941666096,Mom Slim-Fit High-Waist Ankle Jeans,H&M,Dark dusty brown,34.99,34.99,34.99,USD,Available,False,True,True,ladies_jeans_cropped,"14, 16, 10, 12, 6, 8, 2, 4, 20, 0, 22, 18",12,24,https://www2.hm.com/en_us/productpage.0941666096.html,https://image.hm.com/assets/hm/5d/a6/5da667f5656ccf3db9e4fdd24bfbc824f2ab713a.jpg,H&M
1361179002,Cap-Sleeved Lace Top,H&M,White,22.99,22.99,22.99,USD,Available,False,True,True,ladies_tops_shortsleeve,"L, S, M, XS",4,8,https://www2.hm.com/en_us/productpage.1361179002.html,https://image.hm.com/assets/hm/11/1e/111e4f8414ffcba3d8bac3b7a5d423b9cf646a2c.jpg,H&M
1341964004,MAMA Ribbed Jersey T-Shirt,H&M,Dark brown,14.99,14.99,14.99,USD,Available,False,False,True,ladies_maternity_tops,"XS, S, M, L, XL, XXL",6,12,https://www2.hm.com/en_us/productpage.1341964004.html,https://image.hm.com/assets/hm/eb/d8/ebd82283e889e4ca508982c43a2075d5d0d75ae4.jpg,H&M
1322080002,Linen-Blend Resort Shirt,H&M,Light beige,29.99,29.99,29.99,USD,Available,False,False,True,ladies_premium_selection_tops,"XS, XXS, M, S, XL, L, XXL",7,14,https://www2.hm.com/en_us/productpage.1322080002.html,https://image.hm.com/assets/hm/56/db/56db3e25169176ad61b737fc4c8ea8ca1d2cbbcc.jpg,H&M
1350601001,Strap-Detail Wrap Skirt,H&M,Black,59.99,59.99,59.99,USD,Available,False,True,True,ladies_skirts_midiskirts,"18, 4, 2, 12, 10, 8, 6, 16, 14",9,18,https://www2.hm.com/en_us/productpage.1350601001.html,https://image.hm.com/assets/hm/27/f5/27f5617f4ea9a2692fd7707c144d1dfa0187eb14.jpg,H&M
1350357002,Lace Thong Bodysuit,H&M,White,24.99,24.99,24.99,USD,Available,False,True,True,ladies_tops_bodys,"XS, L, S, M",4,8,https://www2.hm.com/en_us/productpage.1350357002.html,https://image.hm.com/assets/hm/84/dd/84dd29bfa607e28352fa8cd5acffe46fc9389e11.jpg,H&M
1348879002,Draped Crinkled Top,H&M,Rust red,9.99,9.99,9.99,USD,Available,False,False,True,ladies_tops_turtleneck,"XS, M, S, XL, L",5,10,https://www2.hm.com/en_us/productpage.1348879002.html,https://image.hm.com/assets/hm/9b/6a/9b6a40a8363a899f39f4faf119a7e74e377d8163.jpg,H&M
1347093001,Stand-Up Collar Ponte Top,H&M,Black,9.99,9.99,9.99,USD,Available,False,False,True,ladies_tops_shortsleeve,"XL, L, XS, M, S",5,10,https://www2.hm.com/en_us/productpage.1347093001.html,https://image.hm.com/assets/hm/b8/01/b8015149a3d44e297d1213280bc04d0d3593c36e.jpg,H&M
1348995002,Crinkled Pull-On Pants,H&M,Dark brown,19.99,19.99,19.99,USD,Available,False,False,True,ladies_trousers_highwaisted,"S, XS, XL, L, M",5,10,https://www2.hm.com/en_us/productpage.1348995002.html,https://image.hm.com/assets/hm/2e/b3/2eb33cc2b09efda82b4d5cfd8f1d71803f465a82.jpg,H&M
