id_unico,valor_real,prediccion_dummy_regressor,error_dummy_regressor,prediccion_regresion_lineal,error_regresion_lineal,prediccion_random_forest,error_random_forest,prediccion_histgradientboosting,error_histgradientboosting
ASOS_210535631,51.83,59.64462439024389,7.8146243902438925,45.444592447706896,6.385407552293103,51.49258528138025,0.3374147186197476,51.62969837195285,0.2003016280471499
ASOS_210535631,31.0,59.64462439024389,28.64462439024389,40.82516155438381,9.825161554383811,34.37492278539384,3.374922785393842,30.17009780964919,0.8299021903508113
ASOS_210899776,40.5,59.64462439024389,19.14462439024389,41.518443923310606,1.0184439233106062,43.14260311589476,2.642603115894758,40.43085717753416,0.06914282246584236
ASOS_210899776,40.5,59.64462439024389,19.14462439024389,38.40324066962557,2.0967593303744323,41.62155150266093,1.1215515026609282,40.55653708060726,0.056537080607256485
ASOS_210899776,40.5,59.64462439024389,19.14462439024389,38.186525225169135,2.3134747748308655,41.78960647745628,1.2896064774562817,40.56259198216465,0.06259198216464767
ASOS_210899776,40.5,59.64462439024389,19.14462439024389,41.51844392208727,1.0184439220872719,42.84030714140463,2.3403071414046295,40.43085717753416,0.06914282246584236
ASOS_210899776,40.5,59.64462439024389,19.14462439024389,36.89901302876419,3.6009869712358125,41.71558274270458,1.2155827427045836,40.36194614414306,0.1380538558569384
ASOS_211192447,43.5,59.64462439024389,16.14462439024389,44.828303115172375,1.3283031151723748,44.39234709481548,0.8923470948154772,43.29050711918876,0.20949288081123996
ASOS_211192447,43.5,59.64462439024389,16.14462439024389,41.713099861487336,1.7869001385126637,43.269797007286265,0.23020299271373545,43.50115050021119,0.0011505002111888984
ASOS_211192447,43.5,59.64462439024389,16.14462439024389,41.496384417030896,2.003615582969104,43.325555687607554,0.1744443123924455,43.5016510819373,0.0016510819372967944
ASOS_211192447,43.5,59.64462439024389,16.14462439024389,44.82830311394904,1.3283031139490404,44.251583747250805,0.7515837472508053,43.29050711918876,0.20949288081123996
ASOS_211192447,43.5,59.64462439024389,16.14462439024389,40.208872220625956,3.291127779374044,43.11800236333735,0.3819976366626534,43.48652992374743,0.013470076252566798
ASOS_210223953,69.25,59.64462439024389,9.60537560975611,74.34266447807416,5.0926644780741555,70.27017216714106,1.0201721671410553,69.28382658781264,0.033826587812640696
ASOS_210223953,69.25,59.64462439024389,9.60537560975611,71.22746122438912,1.977461224389117,70.33131421737409,1.0813142173740857,69.26760246597706,0.017602465977063275
ASOS_210223953,69.25,59.64462439024389,9.60537560975611,71.01074577993266,1.7607457799326625,70.44047942600511,1.190479426005112,69.29754450344956,0.04754450344955785
ASOS_210223953,69.25,59.64462439024389,9.60537560975611,74.34266447685081,5.092664476850814,70.21791119086315,0.9679111908631484,69.28502450257383,0.03502450257383316
